iri	id
ZP:0012921	GO:0030175-0-ZFA:0001194-PATO:0000122-0-0-0
ZP:0022205	0-0-ZFA:0009141-PATO:0002269-BSPO:0000101-0-ZFA:0005124
ZP:0009166	GO:0030017-0-ZFA:0009316-PATO:0002302-0-0-0
ZP:0009126	GO:0005578-0-ZFA:0000135-PATO:0000937-0-0-0
ZP:0009125	GO:0005578-0-ZFA:0000135-PATO:0000592-0-0-0
ZP:0012686	ZFA:0001659-0-ZFA:0005452-PATO:0001997-0-0-0
ZP:0002396	GO:0007067-0-ZFA:0000075-PATO:0002051-0-0-0
ZP:0009061	GO:0000781-0-ZFA:0001094-PATO:0000460-0-0-0
ZP:0017451	0-0-ZFA:0000001-PATO:0002001-GO:0031512-0-ZFA:0000001
ZP:0017957	GO:0031512-0-ZFA:0009114-PATO:0002282-0-0-0
ZP:0000979	GO:0048675-0-ZFA:0007001-PATO:0000460-0-0-0
ZP:0007650	GO:0005929-0-ZFA:0000529-PATO:0002364-0-0-0
ZP:0005045	GO:0030027-0-ZFA:0000117-PATO:0000039-0-0-0
ZP:0010979	GO:0072554-0-ZFA:0005025-PATO:0000460-0-0-0
ZP:0010977	GO:0072554-0-ZFA:0001285-PATO:0000460-0-0-0
ZP:0010970	GO:0042384-0-ZFA:0001135-PATO:0001236-0-0-0
ZP:0010967	GO:0043005-0-ZFA:0000641-PATO:0000460-0-0-0
ZP:0012068	BSPO:0000101-0-ZFA:0000114-PATO:0002002-0-0-ZFA:0005145
ZP:0000957	GO:0031512-0-ZFA:0000001-PATO:0000574-0-0-0
ZP:0000976	GO:0048675-0-ZFA:0001657-PATO:0000460-0-0-0
ZP:0012226	GO:0003341-0-ZFA:0000529-PATO:0002302-0-0-0
ZP:0022229	BSPO:0000101-0-ZFA:0001076-PATO:0000140-0-0-0
ZP:0010824	GO:0007067-0-ZFA:0000152-PATO:0002304-0-0-0
ZP:0020269	BSPO:0000072-0-ZFA:0005023-PATO:0001671-0-0-0
ZP:0010738	GO:0032400-0-ZFA:0000144-PATO:0000460-0-0-0
ZP:0019291	BSPO:0000101-0-ZFA:0000360-PATO:0000628-0-0-0
ZP:0019303	BSPO:0000101-0-ZFA:0001718-PATO:0000628-0-0-0
ZP:0019305	BSPO:0000101-0-ZFA:0001719-PATO:0000628-0-0-0
ZP:0019306	BSPO:0000101-0-ZFA:0000114-PATO:0000628-0-0-0
ZP:0019307	BSPO:0000101-0-ZFA:0001315-PATO:0000628-0-0-0
ZP:0020812	BSPO:0000101-0-ZFA:0000728-PATO:0002001-ZFA:0009000-0-ZFA:0000135
ZP:0019379	BSPO:0000101-0-ZFA:0000339-PATO:0001450-0-0-0
ZP:0019380	BSPO:0000101-0-ZFA:0000107-PATO:0001450-0-0-0
ZP:0019388	BSPO:0000101-0-ZFA:0000114-PATO:0001450-0-0-0
ZP:0002404	GO:0007067-0-ZFA:0000152-PATO:0000297-0-0-0
ZP:0002405	GO:0007067-0-ZFA:0000152-PATO:0000498-0-0-0
ZP:0002406	GO:0007067-0-ZFA:0000152-PATO:0002051-0-0-0
ZP:0005840	GO:0072372-0-ZFA:0000558-PATO:0000122-0-0-0
ZP:0005793	GO:0005605-0-ZFA:0001058-PATO:0001566-0-0-0
ZP:0005792	GO:0005605-0-ZFA:0001058-PATO:0000937-0-0-0
ZP:0009236	GO:0031512-0-ZFA:0000001-PATO:0000573-0-0-0
ZP:0002531	GO:0031512-0-ZFA:0000022-PATO:0000613-0-0-0
ZP:0005751	GO:0030424-0-ZFA:0005179-PATO:0000460-0-0-0
ZP:0009365	GO:0005605-0-ZFA:0001558-PATO:0000599-0-0-0
ZP:0005529	GO:0007067-0-ZFA:0000243-PATO:0000912-0-0-0
ZP:0010106	GO:0048675-0-ZFA:0001108-PATO:0000460-0-0-0
ZP:0002900	GO:0031512-0-ZFA:0000001-PATO:0001997-0-0-0
ZP:0002993	GO:0031512-0-ZFA:0000001-PATO:0001624-0-0-0
ZP:0020256	ZFA:0009354-0-ZFA:0001117-PATO:0001672-0-0-0
ZP:0020069	BSPO:0000101-0-ZFA:0005738-PATO:0000462-0-0-0
ZP:0020067	BSPO:0000101-0-ZFA:0001076-PATO:0001671-0-0-0
ZP:0020063	BSPO:0000101-0-ZFA:0001076-PATO:0002000-0-0-ZFA:0009165
ZP:0020062	BSPO:0000101-0-ZFA:0000112-PATO:0002001-0-0-ZFA:0009165
ZP:0005046	GO:0030027-0-ZFA:0000117-PATO:0001241-0-0-0
ZP:0014620	GO:0005578-0-ZFA:0000135-PATO:0000051-0-0-0
ZP:0020642	BSPO:0000101-0-ZFA:0000161-PATO:0000462-0-0-0
ZP:0013989	ZFA:0005249-0-ZFA:0001338-PATO:0000051-0-0-0
ZP:0006339	GO:0005605-0-ZFA:0000144-PATO:0001483-0-0-0
ZP:0016078	GO:0072372-0-ZFA:0000100-PATO:0000122-0-0-0
ZP:0011252	GO:0008045-0-ZFA:0001115-PATO:0000460-0-0-0
ZP:0013813	GO:0032982-0-ZFA:0001056-PATO:0000141-0-0-0
ZP:0013812	GO:0005884-0-ZFA:0001056-PATO:0000141-0-0-0
ZP:0005846	GO:0031513-0-ZFA:0000554-PATO:0000574-0-0-0
ZP:0013746	GO:0031512-0-ZFA:0000001-PATO:0001574-0-0-0
ZP:0013708	GO:0042384-0-ZFA:0000051-PATO:0001236-0-0-0
ZP:0011114	GO:0014025-0-ZFA:0001032-PATO:0000460-0-0-0
ZP:0013679	GO:0005605-0-ZFA:0000050-PATO:0000467-0-0-0
ZP:0008940	ZFA:0005242-0-ZFA:0000529-PATO:0001999-GO:0005929-0-ZFA:0005242
ZP:0008938	ZFA:0009034-0-ZFA:0000151-PATO:0000460-0-0-0
ZP:0003341	GO:0016023-0-ZFA:0009154-PATO:0000628-0-0-0
ZP:0021035	ZFA:0009000-0-ZFA:0005057-PATO:0002270-BSPO:0000101-0-ZFA:0005811
ZP:0013578	GO:0031513-0-ZFA:0001135-PATO:0002050-0-0-0
ZP:0013577	GO:0031513-0-ZFA:0001094-PATO:0002050-0-0-0
ZP:0006517	GO:0072372-0-ZFA:0001094-PATO:0001997-0-0-0
ZP:0006574	GO:0043205-0-ZFA:0001685-PATO:0001714-0-0-0
ZP:0013493	GO:0042384-0-ZFA:0000001-PATO:0001236-0-0-0
ZP:0013492	0-0-ZFA:0000001-PATO:0001905-GO:0031512-0-ZFA:0000001
ZP:0003181	GO:0031513-0-ZFA:0009367-PATO:0000462-0-0-0
ZP:0013265	GO:0007067-0-ZFA:0005041-PATO:0000161-0-0-0
ZP:0013220	GO:0031512-0-ZFA:0000001-PATO:0000122-0-0-0
ZP:0016786	GO:0007067-0-ZFA:0000243-PATO:0000911-0-0-0
ZP:0011918	GO:0042384-0-ZFA:0000151-PATO:0002302-0-0-0
ZP:0013097	GO:0031512-0-ZFA:0000001-PATO:0002050-0-0-0
ZP:0013097	GO:0031512-0-ZFA:0000001-PATO:0000070-0-0-0
ZP:0013004	GO:0031513-0-ZFA:0000130-PATO:0000122-0-0-0
ZP:0018141	0-0-ZFA:0001400-PATO:0000133-BSPO:0000013-0-ZFA:0001094
ZP:0011771	GO:0048846-0-ZFA:0000213-PATO:0001507-0-0-0
ZP:0018206	GO:0007067-0-ZFA:0000077-PATO:0002051-0-0-0
ZP:0001347	GO:0007067-0-ZFA:0000008-PATO:0002304-0-0-0
ZP:0001351	GO:0007067-0-ZFA:0000110-PATO:0002304-0-0-0
ZP:0001352	GO:0007067-0-ZFA:0000445-PATO:0002304-0-0-0
ZP:0011510	GO:0072372-0-ZFA:0000155-PATO:0000574-0-0-0
ZP:0011486	GO:0031512-0-ZFA:0000001-PATO:0001906-0-0-0
ZP:0001637	GO:0005605-0-ZFA:0000135-PATO:0000462-0-0-0
ZP:0016834	GO:0031512-0-ZFA:0000022-PATO:0000614-0-0-0
ZP:0016833	0-0-ZFA:0000022-PATO:0001905-GO:0031512-0-ZFA:0000022
ZP:0001736	GO:0043005-0-ZFA:0007001-PATO:0000460-0-0-0
ZP:0006516	GO:0072372-0-ZFA:0001094-PATO:0000462-0-0-0
ZP:0006515	GO:0031512-0-ZFA:0001094-PATO:0000462-0-0-0
ZP:0006505	0-0-ZFA:0000022-PATO:0002001-GO:0031512-0-ZFA:0000022
ZP:0017931	GO:0031512-0-ZFA:0009114-PATO:0000300-0-0-0
ZP:0016767	GO:0007067-0-ZFA:0009111-PATO:0000380-0-0-0
ZP:0015843	GO:0072372-0-ZFA:0000155-PATO:0000573-0-0-0
ZP:0011113	GO:0014025-0-ZFA:0000948-PATO:0000460-0-0-0
ZP:0011112	GO:0014025-0-ZFA:0000029-PATO:0000460-0-0-0
ZP:0006440	GO:0097484-0-ZFA:0009255-PATO:0000460-0-0-0
ZP:0020819	BSPO:0000101-0-ZFA:0000072-PATO:0002001-ZFA:0009000-0-ZFA:0000135
ZP:0011099	GO:0021654-0-ZFA:0000948-PATO:0000460-0-0-0
ZP:0011097	GO:0021654-0-ZFA:0000823-PATO:0000460-0-0-0
ZP:0011064	GO:0000132-0-ZFA:0001032-PATO:0000460-0-0-0
ZP:0011062	GO:0000132-0-ZFA:0000948-PATO:0000460-0-0-0
ZP:0011053	GO:0044316-0-ZFA:0009262-PATO:0000460-0-0-0
ZP:0011052	GO:0007268-0-ZFA:0009262-PATO:0000460-0-0-0
ZP:0006337	GO:0005605-0-ZFA:0000123-PATO:0001483-0-0-0
ZP:0013540	GO:0030018-0-ZFA:0009316-PATO:0000573-0-0-0
ZP:0013561	GO:0005929-0-ZFA:0000047-PATO:0000122-0-0-0
ZP:0008946	GO:0005929-0-ZFA:0005242-PATO:0000460-0-0-0
ZP:0008575	GO:0005794-0-ZFA:0009127-PATO:0000460-0-0-0
ZP:0004734	GO:0008003-0-ZFA:0000105-PATO:0000592-0-0-0
ZP:0004733	GO:0008003-0-ZFA:0000105-PATO:0000462-0-0-0
ZP:0013322	GO:0001750-0-ZFA:0000152-PATO:0000467-0-0-0
ZP:0010500	GO:0007067-0-ZFA:0000152-PATO:0002052-0-0-0
ZP:0017921	GO:0036064-0-ZFA:0000529-PATO:0000937-0-0-0
ZP:0014784	ZFA:0001659-0-ZFA:0005452-PATO:0000140-0-0-0
ZP:0004480	GO:0043205-0-ZFA:0001516-PATO:0000470-0-0-0
ZP:0004481	GO:0043205-0-ZFA:0001516-PATO:0000591-0-0-0
ZP:0004220	GO:0008003-0-ZFA:0001288-PATO:0000051-0-0-0
ZP:0014447	GO:0007067-0-ZFA:0001270-PATO:0002052-0-0-0
ZP:0014446	GO:0007067-0-ZFA:0001269-PATO:0002052-0-0-0
ZP:0014426	GO:0072372-0-ZFA:0000155-PATO:0001241-0-0-0
ZP:0004081	0-0-ZFA:0000022-PATO:0002000-GO:0031512-0-ZFA:0000022
ZP:0009532	GO:0072372-0-ZFA:0001135-PATO:0000462-0-0-0
ZP:0009530	GO:0072372-0-ZFA:0000051-PATO:0000462-0-0-0
