defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/ZP_0021327	actinotrichium regenerating fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005435	actinotrichium	http://purl.obolibrary.org/obo/ZFA_0001269	regenerating fin
http://purl.obolibrary.org/obo/ZP_0014264	blastema caudal fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001270	blastema	http://purl.obolibrary.org/obo/ZFA_0001058	caudal fin
http://purl.obolibrary.org/obo/ZP_0014093	blastema regenerating fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001270	blastema	http://purl.obolibrary.org/obo/ZFA_0001269	regenerating fin
http://purl.obolibrary.org/obo/ZP_0008716	blood vessel inner optic circle decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005314	blood vessel	http://purl.obolibrary.org/obo/ZFA_0005054	inner optic circle
http://purl.obolibrary.org/obo/ZP_0104230	blood vessel superior ocular sulcus decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005314	blood vessel	http://purl.obolibrary.org/obo/ZFA_0005901	superior ocular sulcus
http://purl.obolibrary.org/obo/ZP_0010992	breeding tubercle jaw flap decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005791	breeding tubercle	http://purl.obolibrary.org/obo/ZFA_0005792	jaw flap
http://purl.obolibrary.org/obo/ZP_0003472	cardiac muscle cell cardiac ventricle decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009316	cardiac muscle cell	http://purl.obolibrary.org/obo/ZFA_0000009	cardiac ventricle
http://purl.obolibrary.org/obo/ZP_0007044	cardiac muscle cell ventricular myocardium decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009316	cardiac muscle cell	http://purl.obolibrary.org/obo/ZFA_0005061	ventricular myocardium
http://purl.obolibrary.org/obo/ZP_0003940	cartilage element neurocranium decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001501	cartilage element	http://purl.obolibrary.org/obo/ZFA_0001580	neurocranium
http://purl.obolibrary.org/obo/ZP_0146543	cartilage element palatoquadrate arch decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001501	cartilage element	http://purl.obolibrary.org/obo/ZFA_0001272	palatoquadrate arch
http://purl.obolibrary.org/obo/ZP_0146544	cartilage element ventral mandibular arch decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001501	cartilage element	http://purl.obolibrary.org/obo/ZFA_0001273	ventral mandibular arch
http://purl.obolibrary.org/obo/ZP_0014085	caudal fin vasculature regenerating fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005097	caudal fin vasculature	http://purl.obolibrary.org/obo/ZFA_0001269	regenerating fin
http://purl.obolibrary.org/obo/ZP_0143666	cell EVL decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000086	EVL
http://purl.obolibrary.org/obo/ZP_0021024	cell epicardium decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0005057	epicardium
http://purl.obolibrary.org/obo/ZP_0149240	cell epidermal basal stratum decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0001180	epidermal basal stratum
http://purl.obolibrary.org/obo/ZP_0137749	cell gonad decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000413	gonad
http://purl.obolibrary.org/obo/ZP_0003598	cell notochord decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000135	notochord
http://purl.obolibrary.org/obo/ZP_0007898	cell pectoral fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0001161	pectoral fin
http://purl.obolibrary.org/obo/ZP_0103418	cell retina decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009000	cell	http://purl.obolibrary.org/obo/ZFA_0000152	retina
http://purl.obolibrary.org/obo/ZP_0002177	chondrocyte Meckel's cartilage decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte	http://purl.obolibrary.org/obo/ZFA_0001205	Meckel's cartilage
http://purl.obolibrary.org/obo/ZP_0004482	chondrocyte ceratobranchial cartilage decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte	http://purl.obolibrary.org/obo/ZFA_0001516	ceratobranchial cartilage
http://purl.obolibrary.org/obo/ZP_0000667	chondrocyte ceratohyal cartilage decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte	http://purl.obolibrary.org/obo/ZFA_0001400	ceratohyal cartilage
http://purl.obolibrary.org/obo/ZP_0102657	chondrocyte palate decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte	http://purl.obolibrary.org/obo/ZFA_0005509	palate
http://purl.obolibrary.org/obo/ZP_0146925	chondrocyte palatoquadrate cartilage decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte	http://purl.obolibrary.org/obo/ZFA_0001399	palatoquadrate cartilage
http://purl.obolibrary.org/obo/ZP_0010017	chondrocyte pharyngeal arch cartilage decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009084	chondrocyte	http://purl.obolibrary.org/obo/ZFA_0001460	pharyngeal arch cartilage
http://purl.obolibrary.org/obo/ZP_0142161	chorion unfertilized egg decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000329	chorion	http://purl.obolibrary.org/obo/ZFA_0001570	unfertilized egg
http://purl.obolibrary.org/obo/ZP_0008208	cranial cartilage neurocranium decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001458	cranial cartilage	http://purl.obolibrary.org/obo/ZFA_0001580	neurocranium
http://purl.obolibrary.org/obo/ZP_0008207	cranial cartilage pharyngeal arch decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001458	cranial cartilage	http://purl.obolibrary.org/obo/ZFA_0001306	pharyngeal arch
http://purl.obolibrary.org/obo/ZP_0149505	epithelial cell oral epithelium decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009034	epithelial cell	http://purl.obolibrary.org/obo/ZFA_0000816	oral epithelium
http://purl.obolibrary.org/obo/ZP_0005126	epithelium swim bladder decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001486	epithelium	http://purl.obolibrary.org/obo/ZFA_0000076	swim bladder
http://purl.obolibrary.org/obo/ZP_0014856	fast muscle cell somite decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009117	fast muscle cell	http://purl.obolibrary.org/obo/ZFA_0000155	somite
http://purl.obolibrary.org/obo/ZP_0142441	hyaloid vessel lens decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005046	hyaloid vessel	http://purl.obolibrary.org/obo/ZFA_0000035	lens
http://purl.obolibrary.org/obo/ZP_0137656	kidney epithelial cell pronephric distal early tubule decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009374	kidney epithelial cell	http://purl.obolibrary.org/obo/ZFA_0001622	pronephric distal early tubule
http://purl.obolibrary.org/obo/ZP_0018944	lens eye decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000035	lens	http://purl.obolibrary.org/obo/ZFA_0000107	eye
http://purl.obolibrary.org/obo/ZP_0008355	lepidotrichium anal fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001554	lepidotrichium	http://purl.obolibrary.org/obo/ZFA_0001162	anal fin
http://purl.obolibrary.org/obo/ZP_0008352	lepidotrichium caudal fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001554	lepidotrichium	http://purl.obolibrary.org/obo/ZFA_0001058	caudal fin
http://purl.obolibrary.org/obo/ZP_0008356	lepidotrichium dorsal fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001554	lepidotrichium	http://purl.obolibrary.org/obo/ZFA_0001173	dorsal fin
http://purl.obolibrary.org/obo/ZP_0006708	melanocyte dermis decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0001119	dermis
http://purl.obolibrary.org/obo/ZP_0006706	melanocyte retinal pigmented epithelium decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0000144	retinal pigmented epithelium
http://purl.obolibrary.org/obo/ZP_0009968	melanocyte trunk decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009091	melanocyte	http://purl.obolibrary.org/obo/ZFA_0001115	trunk
http://purl.obolibrary.org/obo/ZP_0007952	mesenchyme gut decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000393	mesenchyme	http://purl.obolibrary.org/obo/ZFA_0000112	gut
http://purl.obolibrary.org/obo/ZP_0007948	mesenchyme swim bladder decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000393	mesenchyme	http://purl.obolibrary.org/obo/ZFA_0000076	swim bladder
http://purl.obolibrary.org/obo/ZP_0009785	mesoderm post-vent region decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000041	mesoderm	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region
http://purl.obolibrary.org/obo/ZP_0009784	mesoderm trunk decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000041	mesoderm	http://purl.obolibrary.org/obo/ZFA_0001115	trunk
http://purl.obolibrary.org/obo/ZP_0011675	muscle cell adductor mandibulae decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009114	muscle cell	http://purl.obolibrary.org/obo/ZFA_0007049	adductor mandibulae
http://purl.obolibrary.org/obo/ZP_0011678	muscle cell interhyoideus decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009114	muscle cell	http://purl.obolibrary.org/obo/ZFA_0007051	interhyoideus
http://purl.obolibrary.org/obo/ZP_0003096	muscle esophagus decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005145	muscle	http://purl.obolibrary.org/obo/ZFA_0000204	esophagus
http://purl.obolibrary.org/obo/ZP_0146936	parapophysis 2 vertebra 2 decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001393	parapophysis 2	http://purl.obolibrary.org/obo/ZFA_0001168	vertebra 2
http://purl.obolibrary.org/obo/ZP_0021788	primary islet endocrine pancreas decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005754	primary islet	http://purl.obolibrary.org/obo/ZFA_0001260	endocrine pancreas
http://purl.obolibrary.org/obo/ZP_0015590	proliferative region valvula cerebelli decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000098	proliferative region	http://purl.obolibrary.org/obo/ZFA_0000603	valvula cerebelli
http://purl.obolibrary.org/obo/ZP_0140225	regenerating tissue caudal fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue	http://purl.obolibrary.org/obo/ZFA_0001058	caudal fin
http://purl.obolibrary.org/obo/ZP_0139949	regenerating tissue caudal fin lepidotrichium decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue	http://purl.obolibrary.org/obo/ZFA_0001550	caudal fin lepidotrichium
http://purl.obolibrary.org/obo/ZP_0014286	regenerating tissue lateral line decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue	http://purl.obolibrary.org/obo/ZFA_0001469	lateral line
http://purl.obolibrary.org/obo/ZP_0139925	regenerating tissue lateral rectus decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue	http://purl.obolibrary.org/obo/ZFA_0000383	lateral rectus
http://purl.obolibrary.org/obo/ZP_0106495	regenerating tissue liver decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue	http://purl.obolibrary.org/obo/ZFA_0000123	liver
http://purl.obolibrary.org/obo/ZP_0014194	regenerating tissue regenerating fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue	http://purl.obolibrary.org/obo/ZFA_0001269	regenerating fin
http://purl.obolibrary.org/obo/ZP_0014584	regenerating tissue scale decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue	http://purl.obolibrary.org/obo/ZFA_0000277	scale
http://purl.obolibrary.org/obo/ZP_0103759	scale fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000277	scale	http://purl.obolibrary.org/obo/ZFA_0000108	fin
http://purl.obolibrary.org/obo/ZP_0139735	scale regenerating tissue decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000277	scale	http://purl.obolibrary.org/obo/ZFA_0005147	regenerating tissue
http://purl.obolibrary.org/obo/ZP_0010903	scapulocoracoid pectoral fin decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001455	scapulocoracoid	http://purl.obolibrary.org/obo/ZFA_0001161	pectoral fin
http://purl.obolibrary.org/obo/ZP_0010353	somite post-vent region decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000155	somite	http://purl.obolibrary.org/obo/ZFA_0001117	post-vent region
http://purl.obolibrary.org/obo/ZP_0010350	somite trunk decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000155	somite	http://purl.obolibrary.org/obo/ZFA_0001115	trunk
http://purl.obolibrary.org/obo/ZP_0016798	squamous epithelial cell esophageal epithelium decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0009039	squamous epithelial cell	http://purl.obolibrary.org/obo/ZFA_0001499	esophageal epithelium
http://purl.obolibrary.org/obo/ZP_0143995	urogenital papilla male organism decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001118	urogenital papilla	http://purl.obolibrary.org/obo/ZFA_0000242	male organism
http://purl.obolibrary.org/obo/ZP_0144151	vasculature oral region decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0005249	vasculature	http://purl.obolibrary.org/obo/ZFA_0000590	oral region
http://purl.obolibrary.org/obo/ZP_0147002	vent female organism decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000298	vent	http://purl.obolibrary.org/obo/ZFA_0000303	female organism
http://purl.obolibrary.org/obo/ZP_0019785	ventricular system brain decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001261	ventricular system	http://purl.obolibrary.org/obo/ZFA_0000008	brain
http://purl.obolibrary.org/obo/ZP_0017755	white matter optic tectum decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001682	white matter	http://purl.obolibrary.org/obo/ZFA_0000445	optic tectum
http://purl.obolibrary.org/obo/ZP_0017757	white matter rhombic lip decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0001682	white matter	http://purl.obolibrary.org/obo/ZFA_0001440	rhombic lip
http://purl.obolibrary.org/obo/ZP_0142160	yolk unfertilized egg decreased size, abnormal	http://purl.obolibrary.org/obo/ZFA_0000084	yolk	http://purl.obolibrary.org/obo/ZFA_0001570	unfertilized egg
