defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id	affected_entity_2_sub	affected_entity_2_super
ZP:0000157	BSPO:0000000	ZFA:0000823	PATO:0000642	BSPO:0000007	ZFA:0000823
ZP:0000680	BSPO:0000000	ZFA:0000028	PATO:0000651	BSPO:0000007	ZFA:0000028
ZP:0000972	ZFA:0009053	ZFA:0000295	PATO:0002002	GO:0048786	ZFA:0009053
ZP:0000981	GO:0030424	ZFA:0009301	PATO:0002259	BSPO:0000013	ZFA:0000029
ZP:0000982	GO:0030424	ZFA:0009301	PATO:0002259	BSPO:0000013	ZFA:0000075
ZP:0000983	GO:0030424	ZFA:0009301	PATO:0002259	ZFA:0000092	ZFA:0000075
ZP:0000988	GO:0030424	ZFA:0009310	PATO:0002168	BSPO:0000084	ZFA:0000101
ZP:0000989	GO:0030424	ZFA:0009310	PATO:0002168	BSPO:0000060	ZFA:0000107
ZP:0001367	GO:0014069	ZFA:0000175	PATO:0001505	GO:0048788	ZFA:0009367
ZP:0001814	ZFA:0009032	ZFA:0000001	PATO:0002448	BSPO:0000071	ZFA:0000001
ZP:0001816	ZFA:0009032	ZFA:0000022	PATO:0002448	BSPO:0000071	ZFA:0000022
ZP:0001821	ZFA:0009032	ZFA:0000150	PATO:0002448	BSPO:0000071	ZFA:0000150
ZP:0001836	ZFA:0009000	ZFA:0001670	PATO:0001505	ZFA:0009000	ZFA:0001670
ZP:0002024	GO:0030175	ZFA:0009139	PATO:0000133	BSPO:0000016	ZFA:0001094
ZP:0002238	ZFA:0009038	ZFA:0000161	PATO:0001531	ZFA:0009038	ZFA:0000161
ZP:0002371	BSPO:0000055	ZFA:0001205	PATO:0000375	BSPO:0000056	ZFA:0001400
ZP:0002573	GO:0072686	ZFA:0009032	PATO:0002327	BSPO:0000014	ZFA:0000151
ZP:0002576	ZFA:0009000	ZFA:0000150	PATO:0001453	ZFA:0005313	ZFA:0000151
ZP:0002650	GO:0005886	ZFA:0001558	PATO:0000374	GO:0005886	ZFA:0001558
ZP:0002655	GO:0005886	ZFA:0005123	PATO:0000374	GO:0005886	ZFA:0005123
ZP:0002959	ZFA:0009114	ZFA:0001056	PATO:0001453	GO:0005927	ZFA:0001056
ZP:0002976	GO:0042383	ZFA:0009115	PATO:0001505	GO:0042383	ZFA:0009115
ZP:0003049	GO:0031514	ZFA:0000150	PATO:0002001	GO:0036156	ZFA:0000150
ZP:0003050	GO:0031514	ZFA:0000150	PATO:0002001	GO:0036157	ZFA:0000150
ZP:0003363	ZFA:0009000	ZFA:0000135	PATO:0000374	ZFA:0009000	ZFA:0000135
ZP:0003393	GO:0005634	ZFA:0001094	PATO:0001667	GO:0005634	ZFA:0001094
ZP:0003510	BSPO:0000071	ZFA:0005124	PATO:0002001	GO:0005902	ZFA:0009034
ZP:0003577	BSPO:0000067	ZFA:0000150	PATO:0000642	BSPO:0000067	ZFA:0000150
ZP:0003687	BSPO:0000036	ZFA:0001094	PATO:0002327	BSPO:0000037	ZFA:0001094
ZP:0004380	GO:0030016	ZFA:0001056	PATO:0001453	GO:0030016	ZFA:0001056
ZP:0004394	ZFA:0009036	ZFA:0001285	PATO:0001531	ZFA:0009036	ZFA:0001285
ZP:0005005	GO:0030424	ZFA:0009310	PATO:0002168	BSPO:0000065	ZFA:0000107
ZP:0005107	GO:0030016	ZFA:0005145	PATO:0001654	GO:0030016	ZFA:0005145
ZP:0005109	GO:0030315	ZFA:0005145	PATO:0001654	GO:0030315	ZFA:0005145
ZP:0005112	GO:0031410	ZFA:0009114	PATO:0002269	GO:0042383	ZFA:0005145
ZP:0005249	ZFA:0009165	ZFA:0001613	PATO:0000642	ZFA:0009165	ZFA:0001613
ZP:0005716	GO:0030016	ZFA:0000155	PATO:0001654	GO:0030016	ZFA:0000155
ZP:0005855	ZFA:0009000	ZFA:0005023	PATO:0002269	BSPO:0000071	ZFA:0000006
ZP:0005871	ZFA:0000003	ZFA:0000255	PATO:0000374	ZFA:0000003	ZFA:0000255
ZP:0006199	BSPO:0000084	ZFA:0001205	PATO:0000642	BSPO:0000079	ZFA:0001399
ZP:0006200	BSPO:0000079	ZFA:0001422	PATO:0000642	BSPO:0000084	ZFA:0001400
ZP:0006244	GO:0030018	ZFA:0005145	PATO:0001654	GO:0030018	ZFA:0005145
ZP:0006351	GO:0005773	ZFA:0009084	PATO:0002270	GO:0005737	ZFA:0009084
ZP:0006435	GO:0030425	ZFA:0009255	PATO:0002001	GO:0044307	ZFA:0009255
ZP:0006920	BSPO:0000037	ZFA:0000217	PATO:0000374	BSPO:0000036	ZFA:0000150
ZP:0007037	GO:0031514	ZFA:0000001	PATO:0001999	GO:0097540	ZFA:0000001
ZP:0007247	GO:0001939	ZFA:0000093	PATO:0001654	GO:0005818	ZFA:0000093
ZP:0007248	GO:0005813	ZFA:0000093	PATO:0001453	GO:0001940	ZFA:0000093
ZP:0007283	ZFA:0009036	ZFA:0001267	PATO:0001505	ZFA:0009081	ZFA:0000113
ZP:0007579	GO:0005634	ZFA:0009114	PATO:0002168	BSPO:0000075	ZFA:0009114
ZP:0007861	GO:0042622	ZFA:0001466	PATO:0002168	GO:0005775	ZFA:0001466
ZP:0008052	GO:0030424	ZFA:0009310	PATO:0002035	BSPO:0000081	ZFA:0000008
ZP:0008071	GO:0030016	ZFA:0009115	PATO:0001453	GO:0005927	ZFA:0001056
ZP:0008072	GO:0030016	ZFA:0009115	PATO:0001453	GO:0030016	ZFA:0009115
ZP:0008133	GO:0048788	ZFA:0009262	PATO:0001453	GO:0014069	ZFA:0001330
ZP:0008274	ZFA:0009034	ZFA:0000150	PATO:0001999	GO:0005902	ZFA:0009034
ZP:0008425	GO:0005929	ZFA:0000001	PATO:0002001	GO:0036156	ZFA:0000001
ZP:0008706	GO:0042470	ZFA:0000144	PATO:0002168	BSPO:0000075	ZFA:0000144
ZP:0008707	GO:0042470	ZFA:0000144	PATO:0002168	BSPO:0000079	ZFA:0000144
ZP:0008710	GO:0042995	ZFA:0000144	PATO:0002000	GO:0042470	ZFA:0000144
ZP:0008879	GO:0043186	ZFA:0009288	PATO:0000374	GO:0005739	ZFA:0009288
ZP:0008945	GO:0005814	ZFA:0005242	PATO:0002168	GO:0005737	ZFA:0005242
ZP:0009157	GO:0030016	ZFA:0000473	PATO:0001654	GO:0030016	ZFA:0000473
ZP:0009179	GO:0030016	ZFA:0009116	PATO:0001654	GO:0030016	ZFA:0009116
ZP:0009180	GO:0030016	ZFA:0009117	PATO:0001654	GO:0030016	ZFA:0009117
ZP:0009215	ZFA:0009183	ZFA:0000105	PATO:0001505	ZFA:0009183	ZFA:0000105
ZP:0009327	GO:0043679	ZFA:0000944	PATO:0002002	GO:0005764	ZFA:0000944
ZP:0009329	ZFA:0009116	ZFA:0001056	PATO:0001654	ZFA:0009116	ZFA:0001056
ZP:0009506	GO:0005634	ZFA:0009256	PATO:0001470	GO:0005737	ZFA:0009256
ZP:0009563	ZFA:0009000	ZFA:0000135	PATO:0002173	BSPO:0001001	ZFA:0000135
ZP:0009628	ZFA:0009000	ZFA:0000029	PATO:0001531	ZFA:0009000	ZFA:0000029
ZP:0009635	ZFA:0009000	ZFA:0001117	PATO:0001531	ZFA:0009000	ZFA:0001117
ZP:0009725	BSPO:0000055	ZFA:0000144	PATO:0001505	BSPO:0000056	ZFA:0000144
ZP:0009864	BSPO:0000000	ZFA:0000255	PATO:0000642	BSPO:0000007	ZFA:0000255
ZP:0009926	BSPO:0000000	ZFA:0000948	PATO:0000642	BSPO:0000007	ZFA:0000948
ZP:0010093	ZFA:0005220	ZFA:0001115	PATO:0001654	BSPO:0000013	ZFA:0001094
ZP:0010110	GO:0030424	ZFA:0009301	PATO:0002259	ZFA:0000092	ZFA:0000029
ZP:0010179	BSPO:0000071	ZFA:0000107	PATO:0000375	BSPO:0000071	ZFA:0000107
ZP:0010333	BSPO:0000048	ZFA:0000725	PATO:0000642	BSPO:0000048	ZFA:0000725
ZP:0010335	BSPO:0000048	ZFA:0000726	PATO:0000642	BSPO:0000048	ZFA:0000726
ZP:0010339	BSPO:0000048	ZFA:0000851	PATO:0000642	BSPO:0000048	ZFA:0000851
ZP:0010341	BSPO:0000048	ZFA:0000852	PATO:0000642	BSPO:0000048	ZFA:0000852
ZP:0010344	BSPO:0000048	ZFA:0000975	PATO:0000642	BSPO:0000048	ZFA:0000975
ZP:0010404	BSPO:0000067	ZFA:0000155	PATO:0000642	BSPO:0000067	ZFA:0000155
ZP:0010406	ZFA:0000155	ZFA:0001117	PATO:0000374	ZFA:0000155	ZFA:0001117
ZP:0010431	ZFA:0000435	ZFA:0000556	PATO:0002035	ZFA:0000435	ZFA:0000556
ZP:0010508	BSPO:0000000	ZFA:0000028	PATO:0000642	BSPO:0000007	ZFA:0000028
ZP:0010635	ZFA:0009166	ZFA:0001306	PATO:0000642	ZFA:0009166	ZFA:0001306
ZP:0010677	GO:0005923	ZFA:0009316	PATO:0001738	GO:0005923	ZFA:0009316
ZP:0010740	ZFA:0009000	ZFA:0000144	PATO:0002001	GO:0042470	ZFA:0000144
ZP:0010931	BSPO:0000000	ZFA:0001346	PATO:0000651	BSPO:0000007	ZFA:0001346
ZP:0010939	BSPO:0000007	ZFA:0001557	PATO:0000651	BSPO:0000000	ZFA:0001557
ZP:0010956	ZFA:0000135	ZFA:0001114	PATO:0002001	ZFA:0009000	ZFA:0000135
ZP:0011054	GO:0044316	ZFA:0009262	PATO:0001999	GO:0097470	ZFA:0009262
ZP:0011239	GO:0030424	ZFA:0001659	PATO:0002168	BSPO:0000082	ZFA:0000029
ZP:0011240	GO:0030424	ZFA:0001659	PATO:0002168	BSPO:0000083	ZFA:0000029
ZP:0011241	GO:0030424	ZFA:0005778	PATO:0002168	BSPO:0000083	ZFA:0000029
ZP:0011251	GO:0030424	ZFA:0009301	PATO:0002168	BSPO:0000083	ZFA:0000029
ZP:0011357	GO:0030424	ZFA:0009310	PATO:0002002	GO:0048786	ZFA:0009310
ZP:0011398	ZFA:0009065	ZFA:0001286	PATO:0002002	GO:0030175	ZFA:0009065
ZP:0011462	GO:0005776	ZFA:0009000	PATO:0002269	GO:0048471	ZFA:0009000
ZP:0011463	GO:0044754	ZFA:0009000	PATO:0002269	GO:0048471	ZFA:0009000
ZP:0011485	GO:0005634	ZFA:0000001	PATO:0000374	GO:0016324	ZFA:0000001
ZP:0011487	GO:0036064	ZFA:0000001	PATO:0001453	GO:0016324	ZFA:0000001
ZP:0011597	ZFA:0005242	ZFA:0000151	PATO:0001999	GO:0005929	ZFA:0005242
ZP:0011601	BSPO:0000058	ZFA:0000042	PATO:0002327	ZFA:0001486	ZFA:0000008
ZP:0011603	GO:0005884	ZFA:0009306	PATO:0002271	BSPO:0000073	ZFA:0000042
ZP:0011607	BSPO:0000006	ZFA:0001284	PATO:0000651	BSPO:0000006	ZFA:0001284
ZP:0011637	GO:0001917	ZFA:0009262	PATO:0002002	GO:0031410	ZFA:0009262
ZP:0011685	GO:0030424	ZFA:0009310	PATO:0002270	BSPO:0000084	ZFA:0000152
ZP:0011921	GO:0036064	ZFA:0001558	PATO:0001505	GO:0016324	ZFA:0001558
ZP:0012018	BSPO:0000079	ZFA:0001285	PATO:0001999	GO:0030054	ZFA:0009065
ZP:0012020	ZFA:0009303	ZFA:0001285	PATO:0001738	ZFA:0005559	ZFA:0001285
ZP:0012035	GO:0005884	ZFA:0009306	PATO:0002271	BSPO:0000074	ZFA:0000042
ZP:0012100	GO:0005865	ZFA:0005145	PATO:0001505	GO:0032982	ZFA:0005145
ZP:0012177	ZFA:0009141	ZFA:0000368	PATO:0001999	GO:0042995	ZFA:0009141
ZP:0012205	GO:0030018	ZFA:0005784	PATO:0001654	GO:0030018	ZFA:0005784
ZP:0012265	GO:0030016	ZFA:0009114	PATO:0001505	GO:0005927	ZFA:0009114
ZP:0012266	GO:0030016	ZFA:0009114	PATO:0001654	GO:0030016	ZFA:0009114
ZP:0012289	GO:0030424	ZFA:0000175	PATO:0002001	GO:0005739	ZFA:0000175
ZP:0012290	GO:0030424	ZFA:0001058	PATO:0002001	GO:0005739	ZFA:0009248
ZP:0012305	GO:0098723	ZFA:0009114	PATO:0000374	GO:0098723	ZFA:0009114
ZP:0012307	ZFA:0001285	ZFA:0000014	PATO:0001505	ZFA:0001285	ZFA:0005025
ZP:0012595	BSPO:0000073	ZFA:0005062	PATO:0002001	GO:0097512	ZFA:0005062
ZP:0012596	GO:0045180	ZFA:0005062	PATO:0002002	GO:0097512	ZFA:0005062
ZP:0012868	GO:0030424	ZFA:0009310	PATO:0001905	GO:0048786	ZFA:0009310
ZP:0013078	ZFA:0009116	ZFA:0001056	PATO:0001652	ZFA:0009116	ZFA:0001056
ZP:0013098	GO:0036064	ZFA:0000001	PATO:0000040	GO:0016324	ZFA:0000001
ZP:0013182	GO:0005813	ZFA:0001071	PATO:0002261	BSPO:0000073	ZFA:0001071
ZP:0013191	GO:0043296	ZFA:0000023	PATO:0001435	GO:0043296	ZFA:0000086
ZP:0013338	GO:0005694	ZFA:0009177	PATO:0000133	GO:0005694	ZFA:0009177
ZP:0013349	ZFA:0009199	ZFA:0001115	PATO:0001505	ZFA:0009091	ZFA:0001115
ZP:0013921	GO:0001518	ZFA:0009150	PATO:0002269	GO:0005783	ZFA:0009150
ZP:0013922	GO:0001518	ZFA:0009150	PATO:0002269	GO:0005794	ZFA:0009150
ZP:0013924	ZFA:0009052	ZFA:0000075	PATO:0002001	GO:0045202	ZFA:0009052
ZP:0014029	ZFA:0009065	ZFA:0001285	PATO:0001453	ZFA:0009065	ZFA:0001285
ZP:0014030	ZFA:0009065	ZFA:0005025	PATO:0001453	ZFA:0009065	ZFA:0005025
ZP:0014336	GO:0005694	ZFA:0000088	PATO:0000642	GO:0005694	ZFA:0000088
ZP:0014400	BSPO:0000071	ZFA:0001558	PATO:0000642	BSPO:0000071	ZFA:0001558
ZP:0014453	GO:0032420	ZFA:0009367	PATO:0000642	GO:0032420	ZFA:0009367
ZP:0014458	ZFA:0009114	ZFA:0001056	PATO:0001667	GO:0005927	ZFA:0001056
ZP:0014537	GO:0016528	ZFA:0009115	PATO:0001505	GO:0016528	ZFA:0009115
ZP:0014552	GO:0048786	ZFA:0009318	PATO:0002001	GO:0008021	ZFA:0009318
ZP:0014555	GO:0097470	ZFA:0009318	PATO:0001905	GO:0008021	ZFA:0009318
ZP:0014818	GO:0005929	ZFA:0000001	PATO:0002001	GO:0005879	ZFA:0000001
ZP:0015142	BSPO:0000062	ZFA:0001550	PATO:0001654	BSPO:0000061	ZFA:0001550
ZP:0015249	BSPO:0000070	ZFA:0009247	PATO:0000642	BSPO:0000070	ZFA:0009247
ZP:0015288	GO:0005634	ZFA:0009280	PATO:0002168	BSPO:0000073	ZFA:0009280
ZP:0015460	GO:0032420	ZFA:0009367	PATO:0000651	GO:0032420	ZFA:0009367
ZP:0016059	GO:0008021	ZFA:0009125	PATO:0001159	GO:0043679	ZFA:0000327
ZP:0016060	GO:0008021	ZFA:0009125	PATO:0002270	GO:0045202	ZFA:0000327
ZP:0016063	GO:0043679	ZFA:0009125	PATO:0002002	GO:0045202	ZFA:0005673
ZP:0016453	ZFA:0009027	ZFA:0001306	PATO:0002001	GO:0005643	ZFA:0009027
ZP:0016584	ZFA:0009000	ZFA:0000022	PATO:0001505	ZFA:0009000	ZFA:0000022
ZP:0016586	ZFA:0009000	ZFA:0000031	PATO:0001505	ZFA:0009000	ZFA:0000031
ZP:0016657	GO:0005737	ZFA:0005746	PATO:0001999	GO:0005882	ZFA:0005746
ZP:0016779	GO:0005737	ZFA:0009111	PATO:0002002	GO:0005773	ZFA:0009111
ZP:0017047	GO:0043005	ZFA:0009052	PATO:0002001	GO:0045202	ZFA:0009052
ZP:0017160	ZFA:0009177	ZFA:0000086	PATO:0001453	ZFA:0009177	ZFA:0000086
ZP:0017551	ZFA:0009036	ZFA:0001286	PATO:0002001	GO:0030175	ZFA:0009036
ZP:0018242	GO:0031941	ZFA:0009065	PATO:0002271	BSPO:0000079	ZFA:0001052
ZP:0018364	GO:0005741	ZFA:0009114	PATO:0001453	GO:0005743	ZFA:0009114
ZP:0018369	GO:0030017	ZFA:0009114	PATO:0001654	GO:0030017	ZFA:0009114
ZP:0018528	BSPO:0000084	ZFA:0000075	PATO:0002001	GO:0043209	ZFA:0000075
ZP:0018578	BSPO:0000072	ZFA:0001157	PATO:0002002	ZFA:0009000	ZFA:0001157
ZP:0018720	GO:0031514	ZFA:0000150	PATO:0002000	GO:0036157	ZFA:0000150
ZP:0019149	GO:0001917	ZFA:0009154	PATO:0002002	GO:0005764	ZFA:0009154
ZP:0019150	GO:0001917	ZFA:0009154	PATO:0002269	GO:0005773	ZFA:0009154
ZP:0019151	GO:0001750	ZFA:0009154	PATO:0002002	GO:0031982	ZFA:0009154
ZP:0019155	GO:0001917	ZFA:0009154	PATO:0002269	GO:0031982	ZFA:0009154
ZP:0019254	GO:0005694	ZFA:0009000	PATO:0001505	GO:0005694	ZFA:0009000
ZP:0019364	GO:0001750	ZFA:0009127	PATO:0002168	BSPO:0000382	ZFA:0009127
ZP:0019525	GO:0030424	ZFA:0000175	PATO:0001999	GO:0043209	ZFA:0009248
ZP:0019601	GO:0030981	ZFA:0005772	PATO:0002002	GO:0005818	ZFA:0005772
ZP:0019660	BSPO:0000000	ZFA:0001400	PATO:0002327	BSPO:0000007	ZFA:0001400
ZP:0019848	GO:0043679	ZFA:0009310	PATO:0002001	GO:0005739	ZFA:0009310
ZP:0019865	BSPO:0000072	ZFA:0001570	PATO:0002002	GO:0060473	ZFA:0001570
ZP:0020090	GO:0005826	ZFA:0000093	PATO:0002001	GO:0031941	ZFA:0000093
ZP:0020132	GO:0030315	ZFA:0005277	PATO:0002000	GO:0016529	ZFA:0005277
ZP:0020195	GO:0030141	ZFA:0009269	PATO:0002269	BSPO:0000057	ZFA:0009269
ZP:0020229	GO:0098681	ZFA:0009367	PATO:0000374	GO:0098681	ZFA:0009367
ZP:0020500	ZFA:0009033	ZFA:0000029	PATO:0002001	GO:0031514	ZFA:0009033
ZP:0020508	GO:0005759	ZFA:0005277	PATO:0002269	GO:0031982	ZFA:0005277
ZP:0020627	ZFA:0009077	ZFA:0000445	PATO:0002002	GO:0032010	ZFA:0009077
ZP:0021134	GO:0048788	ZFA:0009366	PATO:0002001	GO:0008021	ZFA:0009366
ZP:0021143	ZFA:0009366	ZFA:0007000	PATO:0002001	GO:0008021	ZFA:0009366
ZP:0021146	ZFA:0009366	ZFA:0000166	PATO:0002001	GO:0097470	ZFA:0009366
ZP:0021148	GO:0097470	ZFA:0009366	PATO:0002001	GO:0008021	ZFA:0009366
